order_id,ordered_at,city,cuisine,weather_condition,traffic_level,courier_type,delivery_tier,order_value_usd,item_count,prep_time_minutes,courier_distance_km,courier_rating,batch_size,active_orders_nearby,restaurant_backlog_orders,promised_delivery_minutes,actual_delivery_minutes,tip_rate,customer_rating,was_late
FDS-700017,2025-01-01T18:55:00,Atlanta,indian,clear,medium,scooter,priority,23.68,7,27,4.87,5,1,31,10,49.8,73.5,0.122,2.7,1
FDS-700018,2025-01-01T19:30:00,Phoenix,salad,clear,medium,car,priority,26.16,3,23,4.2,4.66,1,42,3,40.3,59.1,0.103,4.0,1
FDS-700019,2025-01-01T20:05:00,Austin,mexican,rain,low,car,priority,33.08,5,26,4.47,5,1,37,1,46.5,71.0,0.141,3.02,1
FDS-700020,2025-01-01T20:40:00,Phoenix,thai,clear,medium,car,priority,40.89,4,20,3.82,4.31,2,37,16,37.3,76.1,0.135,2.47,1
FDS-700021,2025-01-01T21:15:00,New York,indian,clear,medium,bike,standard,24.14,2,22,3.21,4.79,1,27,12,40.5,73.7,0.152,3.38,1
FDS-700022,2025-01-01T21:50:00,Chicago,sushi,storm,severe,walker,priority,33.09,2,13,0.92,4.41,1,38,5,18,79.7,0.094,2.88,1
FDS-700023,2025-01-01T22:25:00,New York,mexican,clear,medium,scooter,standard,17.95,6,31,5.46,5,2,60,9,61.2,98.5,0.02,3.06,1
FDS-700024,2025-01-01T23:00:00,Chicago,burger,rain,high,bike,priority,30.14,2,21,6.25,5,1,44,10,45.3,93.6,0.069,2.68,1
FDS-700025,2025-01-01T23:35:00,Austin,mexican,rain,severe,car,scheduled,31.16,4,19,3.09,4.56,2,33,13,39.7,90.1,0.076,2.75,1
FDS-700026,2025-01-02T00:10:00,Atlanta,mexican,rain,high,car,standard,27.09,1,16,4.53,4.63,1,68,2,39.4,87.8,0.166,3.11,1
FDS-700027,2025-01-02T00:45:00,New York,pizza,clear,medium,bike,standard,16.0,4,18,5.08,4.19,1,43,12,46.4,78.1,0.164,3.3,1
FDS-700028,2025-01-02T01:20:00,Seattle,indian,clear,severe,walker,standard,11.89,5,24,5.42,4.43,1,47,10,51.2,95.9,0.084,2.56,1
FDS-700029,2025-01-02T01:55:00,Austin,mexican,heatwave,severe,bike,scheduled,33.86,4,35,7.32,4.53,2,51,18,74.8,126.2,0.076,3.35,1
FDS-700030,2025-01-02T02:30:00,Austin,burger,clear,medium,scooter,priority,17.36,3,26,7.13,4.64,2,8,14,56.6,72.2,0.11,3.89,1
FDS-700031,2025-01-02T03:05:00,Seattle,thai,clear,medium,car,standard,34.0,4,13,1.66,5,1,45,17,27.3,64.3,0.123,2.15,1
FDS-700032,2025-01-02T03:40:00,Atlanta,thai,clear,medium,walker,standard,22.1,3,36,6.72,4.76,1,71,0,69.1,102.4,0.094,2.91,1
FDS-700033,2025-01-02T04:15:00,Chicago,thai,cold,low,car,priority,27.68,4,26,1.83,4.52,1,27,5,33.3,41.9,0.118,4.58,0
FDS-700034,2025-01-02T04:50:00,Atlanta,sushi,clear,medium,car,priority,20.21,4,27,5.1,4.98,1,24,9,48.5,66.8,0.111,3.61,1
FDS-700035,2025-01-02T05:25:00,Seattle,mexican,clear,low,car,priority,38.13,1,28,8.4,4.73,1,55,1,63.8,77.7,0.101,3.78,1
FDS-700036,2025-01-02T06:00:00,Atlanta,indian,clear,medium,scooter,priority,27.82,4,22,3.38,4.68,1,64,12,39.0,70.2,0.136,3.3,1
FDS-700037,2025-01-02T06:35:00,Phoenix,burger,cold,medium,car,standard,28.27,3,24,5.53,4.45,1,53,6,50.9,87.8,0.137,4.13,1
FDS-700038,2025-01-02T07:10:00,New York,salad,rain,medium,car,standard,30.37,4,27,7.47,4.62,1,60,20,65.3,118.8,0.064,2.02,1
FDS-700039,2025-01-02T07:45:00,Atlanta,indian,rain,high,car,standard,30.76,3,26,5.58,4.78,1,44,14,54.9,92.7,0.02,3.28,1
FDS-700040,2025-01-02T08:20:00,Seattle,burger,clear,medium,bike,standard,25.32,3,23,3.32,4.25,1,55,12,43.3,70.3,0.101,2.76,1
FDS-700041,2025-01-02T08:55:00,Atlanta,indian,clear,low,scooter,priority,25.85,2,26,0.4,4.99,1,40,12,26.6,44.7,0.097,3.67,1
FDS-700042,2025-01-02T09:30:00,Seattle,indian,clear,medium,car,scheduled,20.84,2,26,6.06,4.58,1,35,4,58.5,84.3,0.066,3.12,1
FDS-700043,2025-01-02T10:05:00,New York,thai,storm,medium,car,standard,19.21,1,23,3.83,4.27,1,12,14,46.7,82.3,0.171,3.45,1
FDS-700044,2025-01-02T10:40:00,Chicago,mexican,clear,high,car,standard,11.68,4,29,5.76,4.77,1,14,3,57.9,90.4,0.065,3.44,1
FDS-700045,2025-01-02T11:15:00,Atlanta,thai,clear,severe,car,standard,19.7,5,24,0.4,4.82,1,46,8,32.3,74.6,0.123,3.76,1
FDS-700046,2025-01-02T11:50:00,New York,burger,clear,high,walker,priority,43.25,4,19,10.73,4.77,1,58,6,65.9,123.6,0.129,2.72,1
FDS-700047,2025-01-02T12:25:00,Austin,indian,rain,high,bike,scheduled,20.18,3,28,5.46,4.88,1,48,17,60.3,119.1,0.114,2.83,1
FDS-700048,2025-01-02T13:00:00,Austin,thai,clear,low,scooter,standard,26.64,2,26,6.97,4.62,1,42,0,60.8,76.9,0.098,3.25,1
FDS-700049,2025-01-02T13:35:00,New York,mexican,heatwave,high,walker,standard,20.98,2,25,6.28,4.77,2,21,9,58.7,100.1,0.11,3.36,1
FDS-700050,2025-01-02T14:10:00,Atlanta,thai,clear,medium,car,priority,22.05,2,18,8.94,4.92,2,16,16,53.8,85.4,0.14,3.71,1
FDS-700051,2025-01-02T14:45:00,Phoenix,thai,clear,medium,bike,priority,34.75,3,30,0.4,4.62,2,17,9,31.3,49.7,0.062,3.54,1
FDS-700052,2025-01-02T15:20:00,Atlanta,thai,clear,low,scooter,standard,44.53,3,29,3.63,4.48,4,18,4,51.4,68.6,0.024,3.76,1
FDS-700053,2025-01-02T15:55:00,Austin,pizza,rain,severe,scooter,standard,19.66,1,17,4.57,4.82,1,8,0,43.8,73.5,0.047,3.64,1
FDS-700054,2025-01-02T16:30:00,Austin,indian,cold,medium,car,standard,29.71,3,16,7.57,4.94,1,36,6,53.6,77.9,0.061,3.29,1
FDS-700055,2025-01-02T17:05:00,Seattle,indian,clear,medium,car,standard,24.51,6,33,3.66,4.53,1,31,13,51.9,70.5,0.104,2.89,1
FDS-700056,2025-01-02T17:40:00,New York,mexican,rain,high,bike,standard,22.81,3,15,4.12,4.84,1,24,1,36.9,64.8,0.04,3.83,1
FDS-700057,2025-01-02T18:15:00,New York,thai,cold,medium,car,standard,40.99,5,23,8.53,4.79,2,26,1,62.4,81.7,0.102,3.58,1
FDS-700058,2025-01-02T18:50:00,Phoenix,mexican,clear,medium,walker,standard,41.93,5,28,5.18,4.94,1,46,15,57.5,95.4,0.059,3.36,1
FDS-700059,2025-01-02T19:25:00,Phoenix,sushi,clear,medium,scooter,standard,22.33,4,22,7.23,5,1,49,18,58.4,112.3,0.031,2.91,1
FDS-700060,2025-01-02T20:00:00,New York,burger,cold,low,bike,standard,19.11,2,31,5.54,4.2,1,49,6,60.0,96.6,0.101,3.5,1
FDS-700061,2025-01-02T20:35:00,New York,pizza,clear,severe,car,standard,31.95,5,25,1.56,4.9,1,41,14,38.1,87.0,0.077,2.92,1
FDS-700062,2025-01-02T21:10:00,Seattle,pizza,storm,low,bike,standard,12.29,5,21,5.56,4.92,1,32,1,47.9,73.2,0.044,3.28,1
FDS-700063,2025-01-02T21:45:00,Chicago,thai,rain,medium,car,scheduled,20.32,2,13,3.74,4.67,2,20,19,38.1,81.2,0.127,3.12,1
FDS-700064,2025-01-02T22:20:00,New York,burger,storm,low,bike,standard,21.53,1,25,5.3,4.34,1,45,12,51.8,100.7,0.09,2.88,1
FDS-700065,2025-01-02T22:55:00,Austin,salad,rain,high,car,standard,38.24,5,27,4.72,4.54,3,44,13,50.5,95.9,0.104,3.2,1
FDS-700066,2025-01-02T23:30:00,Seattle,indian,cold,low,scooter,standard,31.23,3,28,6.05,4.46,1,19,7,58.6,69.0,0.044,3.52,1
FDS-700067,2025-01-03T00:05:00,Phoenix,pizza,heatwave,low,bike,standard,37.63,3,20,1.54,4.62,1,57,4,32.1,55.2,0.024,3.85,1
FDS-700068,2025-01-03T00:40:00,Chicago,salad,heatwave,medium,car,standard,46.6,1,22,3.78,4.55,2,55,19,45.8,87.0,0.02,2.91,1
FDS-700069,2025-01-03T01:15:00,Phoenix,mexican,heatwave,high,scooter,standard,23.36,4,25,6.96,4.32,1,53,3,59.7,99.2,0.06,2.83,1
FDS-700070,2025-01-03T01:50:00,Chicago,mexican,clear,high,bike,standard,35.43,3,35,6.41,5,1,52,10,67.2,106.3,0.047,2.8,1
FDS-700071,2025-01-03T02:25:00,New York,salad,heatwave,medium,car,standard,36.38,5,26,1.32,4.62,1,35,6,35.5,64.8,0.092,2.96,1
FDS-700072,2025-01-03T03:00:00,Seattle,burger,rain,severe,bike,standard,31.19,3,18,4.12,4.5,1,34,7,40.3,84.5,0.136,3.05,1
FDS-700073,2025-01-03T03:35:00,Austin,sushi,rain,medium,scooter,standard,31.14,3,21,6.99,4.92,2,42,15,57.8,105.8,0.143,3.14,1
FDS-700074,2025-01-03T04:10:00,New York,thai,clear,medium,car,standard,33.07,2,24,4.61,4.43,1,30,9,48.9,79.8,0.157,2.83,1
FDS-700075,2025-01-03T04:45:00,New York,mexican,clear,high,car,standard,23.69,4,27,4.02,4.9,1,40,2,50.0,84.7,0.045,3.19,1
FDS-700076,2025-01-03T05:20:00,New York,salad,clear,low,car,priority,40.64,1,21,7.51,4.8,1,33,9,54.0,74.1,0.145,2.85,1
FDS-700077,2025-01-03T05:55:00,Seattle,pizza,rain,medium,scooter,standard,35.65,3,29,6.19,4.9,1,35,6,58.1,78.5,0.157,3.31,1
FDS-700078,2025-01-03T06:30:00,Austin,burger,storm,medium,car,standard,24.75,2,22,6.62,5,1,56,5,56.5,105.4,0.148,2.58,1
FDS-700079,2025-01-03T07:05:00,Austin,thai,heatwave,medium,car,standard,35.32,4,29,2.27,4.54,2,68,16,45.4,89.5,0.02,2.76,1
FDS-700080,2025-01-03T07:40:00,New York,sushi,rain,severe,car,standard,27.89,3,20,2.66,4.47,1,34,9,36.3,76.7,0.034,2.69,1
FDS-700081,2025-01-03T08:15:00,Austin,indian,storm,medium,bike,scheduled,27.25,4,23,2.0,4.48,1,10,0,40.8,59.7,0.064,2.94,1
FDS-700082,2025-01-03T08:50:00,Atlanta,indian,heatwave,medium,bike,standard,50.13,4,18,1.14,4.68,1,79,16,29.8,78.9,0.102,3.16,1
FDS-700083,2025-01-03T09:25:00,New York,mexican,clear,low,bike,standard,33.27,3,19,8.26,4.8,1,64,9,58.7,100.1,0.093,3.1,1
FDS-700084,2025-01-03T10:00:00,Austin,burger,clear,high,scooter,standard,13.36,4,20,4.06,4.31,2,38,6,42.2,72.3,0.037,2.98,1
FDS-700085,2025-01-03T10:35:00,Atlanta,sushi,rain,medium,car,standard,38.93,3,23,3.1,4.35,1,22,11,42.5,62.3,0.045,3.39,1
FDS-700086,2025-01-03T11:10:00,Chicago,thai,cold,medium,car,priority,35.88,5,20,9.05,4.64,1,66,14,58.7,99.3,0.149,2.36,1
FDS-700087,2025-01-03T11:45:00,Phoenix,salad,clear,medium,car,standard,19.86,3,22,3.81,4.9,1,69,18,41.6,80.0,0.177,2.84,1
FDS-700088,2025-01-03T12:20:00,Austin,thai,heatwave,medium,walker,scheduled,24.1,1,23,4.6,4.91,1,74,0,52.2,99.3,0.083,3.1,1
FDS-700089,2025-01-03T12:55:00,Atlanta,burger,clear,high,bike,standard,44.88,1,24,4.83,4.87,1,49,21,48.1,93.5,0.117,2.6,1
FDS-700090,2025-01-03T13:30:00,Chicago,pizza,rain,high,car,standard,33.73,3,12,3.46,5,1,29,13,31.4,69.4,0.072,3.39,1
FDS-700091,2025-01-03T14:05:00,Austin,pizza,clear,medium,car,standard,31.01,5,27,5.71,4.26,2,31,10,54.1,82.7,0.19,3.04,1
FDS-700092,2025-01-03T14:40:00,Chicago,indian,clear,medium,scooter,standard,13.51,3,18,10.61,4.43,1,8,24,70.5,109.3,0.105,3.35,1
FDS-700093,2025-01-03T15:15:00,Atlanta,salad,clear,severe,bike,priority,18.3,3,22,1.31,5,1,77,16,26.1,87.7,0.179,3.06,1
FDS-700094,2025-01-03T15:50:00,Chicago,burger,clear,severe,scooter,standard,44.27,4,23,5.53,4.74,1,36,18,51.9,84.6,0.131,3.36,1
FDS-700095,2025-01-03T16:25:00,Chicago,pizza,storm,medium,scooter,standard,24.94,1,25,7.85,4.31,2,55,19,63.0,134.1,0.078,3.04,1
FDS-700096,2025-01-03T17:00:00,New York,mexican,clear,medium,car,standard,36.17,5,23,6.07,4.59,1,72,10,52.4,105.0,0.05,3.36,1
FDS-700097,2025-01-03T17:35:00,Phoenix,pizza,rain,medium,bike,priority,32.91,2,21,5.67,4.27,1,42,16,43.8,85.4,0.231,3.53,1
FDS-700098,2025-01-03T18:10:00,New York,indian,storm,low,scooter,standard,28.68,3,19,10.24,4.62,1,32,8,69.1,110.5,0.057,3.57,1
FDS-700099,2025-01-03T18:45:00,Seattle,sushi,clear,medium,bike,standard,21.77,6,28,3.99,4.34,1,30,10,52.6,67.3,0.108,3.87,1
FDS-700100,2025-01-03T19:20:00,Atlanta,pizza,clear,medium,car,standard,22.77,5,22,0.5,4.38,1,62,13,32.1,68.3,0.056,2.86,1
FDS-700101,2025-01-03T19:55:00,Chicago,mexican,clear,high,car,standard,33.04,3,12,4.57,4.84,1,52,0,34.9,69.6,0.147,3.25,1
FDS-700102,2025-01-03T20:30:00,Austin,burger,cold,medium,car,scheduled,36.69,4,19,4.47,4.58,1,13,9,45.5,72.3,0.099,3.57,1
FDS-700103,2025-01-03T21:05:00,Chicago,thai,clear,high,walker,priority,36.47,3,31,4.91,4.82,1,55,27,53.4,118.6,0.165,2.54,1
FDS-700104,2025-01-03T21:40:00,Phoenix,salad,clear,severe,car,standard,20.79,3,19,3.73,4.46,1,52,14,41.9,93.7,0.02,2.96,1
FDS-700105,2025-01-03T22:15:00,Austin,burger,clear,high,car,standard,18.95,3,18,5.16,4.53,1,38,6,44.8,77.9,0.1,3.72,1
FDS-700106,2025-01-03T22:50:00,Austin,indian,clear,high,walker,standard,9.09,3,24,4.7,4.44,1,73,22,46.9,121.5,0.105,2.21,1
FDS-700107,2025-01-03T23:25:00,Chicago,pizza,clear,medium,bike,standard,9.33,2,17,5.54,4.76,1,44,15,45.4,75.3,0.064,2.99,1
FDS-700108,2025-01-04T00:00:00,Chicago,mexican,clear,medium,bike,standard,38.99,4,34,5.55,4.97,1,30,14,62.1,98.6,0.142,3.26,1
FDS-700109,2025-01-04T00:35:00,Austin,salad,clear,medium,bike,standard,27.25,7,26,6.27,4.27,1,25,19,56.3,82.6,0.112,3.2,1
FDS-700110,2025-01-04T01:10:00,Seattle,sushi,rain,low,bike,priority,33.41,1,13,4.54,4.65,1,33,14,33.6,76.6,0.177,3.14,1
FDS-700111,2025-01-04T01:45:00,Atlanta,sushi,rain,medium,bike,standard,37.89,2,20,6.47,4.47,1,8,3,53.5,66.2,0.022,4.44,1
FDS-700112,2025-01-04T02:20:00,New York,indian,rain,medium,car,priority,26.86,2,22,6.18,4.71,1,52,12,48.5,94.6,0.115,2.59,1
FDS-700113,2025-01-04T02:55:00,Chicago,thai,rain,severe,car,standard,26.96,3,11,4.37,4.62,1,32,5,36.2,83.1,0.073,2.97,1
FDS-700114,2025-01-04T03:30:00,New York,sushi,clear,medium,car,standard,17.4,5,27,1.59,4.61,1,43,16,40.8,69.6,0.158,3.35,1
FDS-700115,2025-01-04T04:05:00,Austin,burger,clear,severe,car,standard,26.29,1,23,4.71,4.88,1,102,15,49.8,116.1,0.034,1.7,1
FDS-700116,2025-01-04T04:40:00,Atlanta,thai,clear,medium,bike,standard,15.22,6,27,10.02,4.61,1,61,19,76.2,142.3,0.182,3.45,1
FDS-700117,2025-01-04T05:15:00,Austin,salad,clear,medium,scooter,scheduled,21.16,5,23,7.39,4.65,1,13,10,61.7,80.7,0.154,3.29,1
FDS-700118,2025-01-04T05:50:00,Atlanta,salad,rain,medium,car,scheduled,14.09,3,24,6.94,4.89,1,52,14,60.0,107.9,0.102,3.3,1
FDS-700119,2025-01-04T06:25:00,New York,sushi,cold,medium,walker,priority,27.51,4,25,2.7,4.44,1,66,4,34.7,78.7,0.171,2.76,1
FDS-700120,2025-01-04T07:00:00,Atlanta,indian,clear,high,bike,scheduled,38.05,3,22,1.73,4.75,1,47,7,35.4,71.7,0.124,3.23,1
FDS-700121,2025-01-04T07:35:00,Phoenix,indian,rain,high,bike,standard,27.85,3,29,6.14,4.53,1,21,9,62.4,101.0,0.023,3.59,1
FDS-700122,2025-01-04T08:10:00,New York,pizza,rain,medium,bike,standard,25.75,7,31,8.45,4.67,1,57,8,74.1,121.2,0.061,3.24,1
FDS-700123,2025-01-04T08:45:00,Seattle,burger,cold,medium,car,standard,9,3,26,2.89,4.86,1,36,8,43.3,62.8,0.036,3.27,1
FDS-700124,2025-01-04T09:20:00,Phoenix,sushi,heatwave,medium,walker,standard,25.13,3,29,2.18,4.79,1,40,4,42.0,69.7,0.143,2.98,1
FDS-700125,2025-01-04T09:55:00,Austin,thai,clear,medium,bike,standard,36.6,7,32,4.06,4.74,1,65,9,52.6,100.2,0.195,3.1,1
FDS-700126,2025-01-04T10:30:00,Austin,salad,clear,low,car,priority,39.96,3,23,7.3,4.49,1,23,1,53.8,66.3,0.072,2.95,1
FDS-700127,2025-01-04T11:05:00,Austin,indian,heatwave,high,scooter,scheduled,16.67,3,25,5.41,4.75,1,8,8,53.4,85.0,0.099,3.37,1
FDS-700128,2025-01-04T11:40:00,Austin,thai,clear,severe,car,priority,13.99,1,27,11.08,4.55,1,70,18,72.2,128.6,0.062,3.36,1
FDS-700129,2025-01-04T12:15:00,Chicago,indian,clear,medium,car,standard,44.91,3,22,6.11,4.76,1,67,16,53.0,98.6,0.1,3.39,1
FDS-700130,2025-01-04T12:50:00,Phoenix,sushi,clear,high,car,priority,32.19,5,22,6.8,4.85,1,22,4,50.4,71.7,0.118,3.5,1
FDS-700131,2025-01-04T13:25:00,New York,pizza,clear,medium,car,standard,17.79,3,25,1.68,4.52,1,56,10,39.5,69.5,0.075,2.53,1
FDS-700132,2025-01-04T14:00:00,Austin,pizza,clear,low,bike,priority,22.11,4,23,3.73,4.51,1,42,16,38.0,85.0,0.08,3.13,1
FDS-700133,2025-01-04T14:35:00,Austin,salad,rain,medium,car,scheduled,13.91,3,11,8.09,4.59,1,64,19,52.6,106.4,0.121,2.73,1
FDS-700134,2025-01-04T15:10:00,Phoenix,thai,clear,high,walker,standard,39.93,1,14,7.02,5,1,43,12,50.2,89.7,0.123,2.73,1
FDS-700135,2025-01-04T15:45:00,Atlanta,indian,storm,high,scooter,standard,23.99,1,16,4.73,4.26,1,67,13,39.0,101.7,0.045,2.22,1
FDS-700136,2025-01-04T16:20:00,Austin,mexican,heatwave,low,walker,scheduled,12.57,3,17,7.82,4.71,2,57,15,55.1,120.6,0.022,3.14,1
FDS-700137,2025-01-04T16:55:00,Austin,pizza,rain,medium,scooter,standard,32.38,6,33,6.95,4.64,1,23,5,69.0,91.2,0.076,2.96,1
FDS-700138,2025-01-04T17:30:00,Seattle,sushi,clear,medium,bike,standard,44.63,2,23,7.55,4.65,1,41,13,59.2,99.5,0.068,3.17,1
FDS-700139,2025-01-04T18:05:00,Seattle,salad,heatwave,low,car,standard,29.01,3,18,1.37,4.5,2,33,0,30.4,44.0,0.15,2.85,1
FDS-700140,2025-01-04T18:40:00,Seattle,mexican,clear,medium,car,priority,40.23,4,28,2.63,4.91,1,47,14,40.5,83.7,0.191,2.82,1
FDS-700141,2025-01-04T19:15:00,Seattle,burger,storm,medium,walker,standard,23.13,4,18,5.3,4.8,1,39,11,47.7,95.5,0.048,3.06,1
FDS-700142,2025-01-04T19:50:00,Seattle,indian,rain,low,car,priority,12.47,5,14,4.43,4.82,1,45,12,33.4,63.1,0.105,3.33,1
FDS-700143,2025-01-04T20:25:00,Phoenix,mexican,cold,low,scooter,scheduled,34.98,3,13,5.85,4.58,1,8,1,42.8,53.3,0.132,4.12,1
FDS-700144,2025-01-04T21:00:00,Seattle,thai,clear,high,car,scheduled,26.61,5,21,1.52,4.88,2,74,15,35.7,81.7,0.103,2.56,1
FDS-700145,2025-01-04T21:35:00,Phoenix,burger,clear,severe,car,standard,25.62,2,16,6.1,4.87,2,13,3,46.2,71.8,0.09,3.49,1
FDS-700146,2025-01-04T22:10:00,New York,thai,cold,medium,car,standard,32.81,3,20,6.4,4.59,1,42,12,54.6,86.1,0.113,3.08,1
FDS-700147,2025-01-04T22:45:00,Phoenix,indian,rain,high,walker,standard,36.87,1,22,7.0,4.58,1,19,0,55.6,93.2,0.115,3.44,1
FDS-700148,2025-01-04T23:20:00,Seattle,pizza,rain,medium,car,scheduled,36.0,1,26,3.13,4.9,1,53,16,48.4,93.6,0.068,3.36,1
FDS-700149,2025-01-04T23:55:00,New York,burger,rain,medium,scooter,scheduled,15.54,5,23,5.6,4.82,1,50,1,53.6,83.2,0.118,3.52,1
FDS-700150,2025-01-05T00:30:00,Chicago,pizza,rain,high,car,scheduled,9,3,18,2.41,4.51,1,60,5,36.6,84.7,0.044,2.59,1
FDS-700151,2025-01-05T01:05:00,New York,indian,heatwave,medium,bike,standard,27.72,3,24,7.62,4.66,1,55,6,62.2,104.5,0.082,2.74,1
FDS-700152,2025-01-05T01:40:00,Chicago,indian,rain,high,car,standard,20.47,3,15,0.4,4.99,1,38,5,23.7,53.9,0.094,3.56,1
FDS-700153,2025-01-05T02:15:00,Atlanta,mexican,storm,severe,walker,scheduled,30.02,2,23,1.02,4.66,1,46,13,36.9,88.2,0.072,2.91,1
FDS-700154,2025-01-05T02:50:00,Atlanta,sushi,clear,severe,bike,standard,31.05,3,23,7.79,4.78,2,19,10,59.2,92.7,0.102,3.79,1
FDS-700155,2025-01-05T03:25:00,Chicago,mexican,clear,medium,bike,standard,44.31,3,21,7.31,4.4,1,42,6,58.0,77.5,0.128,3.68,1
FDS-700156,2025-01-05T04:00:00,New York,mexican,clear,medium,car,scheduled,13.18,3,28,6.26,4.53,2,36,8,60.5,92.4,0.124,2.92,1
FDS-700157,2025-01-05T04:35:00,Austin,thai,heatwave,high,car,priority,14.6,5,21,5.12,4.87,1,19,18,44.0,93.0,0.147,2.98,1
FDS-700158,2025-01-05T05:10:00,New York,salad,heatwave,high,car,standard,32.28,1,21,3.83,4.36,1,60,3,44.3,81.0,0.091,2.32,1
FDS-700159,2025-01-05T05:45:00,Atlanta,sushi,cold,severe,car,scheduled,31.79,4,23,4.81,4.41,1,50,22,50.0,99.3,0.193,2.61,1
FDS-700160,2025-01-05T06:20:00,Atlanta,mexican,storm,medium,bike,standard,23.19,5,27,6.93,4.61,1,69,0,63.0,117.0,0.045,2.6,1
FDS-700161,2025-01-05T06:55:00,Austin,thai,clear,high,bike,priority,9.2,4,25,4.9,4.99,1,30,6,46.2,72.1,0.183,3.4,1
FDS-700162,2025-01-05T07:30:00,Chicago,mexican,clear,medium,car,standard,27.49,3,27,0.92,4.83,1,64,16,34.2,72.0,0.13,3.34,1
FDS-700163,2025-01-05T08:05:00,Seattle,pizza,rain,high,car,standard,14.15,3,27,7.73,4.73,2,51,9,62.8,100.5,0.142,2.78,1
FDS-700164,2025-01-05T08:40:00,Atlanta,indian,clear,high,scooter,priority,40.81,5,25,7.01,4.45,1,62,11,57.4,114.2,0.033,3.08,1
FDS-700165,2025-01-05T09:15:00,Atlanta,mexican,cold,medium,car,standard,29.02,1,7,2.46,4.4,2,8,13,25.3,40.8,0.112,3.28,1
FDS-700166,2025-01-05T09:50:00,Seattle,pizza,heatwave,severe,car,standard,43.09,2,20,3.08,4.6,1,54,16,39.7,98.0,0.132,2.9,1
FDS-700167,2025-01-05T10:25:00,Chicago,sushi,clear,medium,car,standard,24.36,6,23,4.3,4.81,1,45,5,45.6,75.6,0.148,3.38,1
FDS-700168,2025-01-05T11:00:00,Phoenix,mexican,clear,low,car,scheduled,43.26,3,27,5.95,4.8,1,33,8,57.4,67.1,0.138,4.38,0
FDS-700169,2025-01-05T11:35:00,Seattle,pizza,clear,medium,scooter,scheduled,14.11,4,22,5.75,4.42,1,71,8,54.5,85.7,0.127,2.9,1
FDS-700170,2025-01-05T12:10:00,Seattle,salad,clear,medium,walker,standard,9,5,30,3.04,5,1,44,6,47.1,83.6,0.12,3.45,1
